original_text,frequency,source
Senior Software Engineer,342,linkedin_import
Software Engineer,289,linkedin_import
Project Manager,187,manual_entry
Sr. Developer,156,crm_sync
Product Manager,143,linkedin_import
Desarrollador Senior,134,manual_entry
Data Analyst,128,linkedin_import
Marketing Manager,119,manual_entry
Ingeniero de Software,112,crm_sync
Sales Representative,98,linkedin_import
DevOps Engineer,94,linkedin_import
Account Manager,91,crm_sync
Gerente de Proyecto,88,manual_entry
UX Designer,85,linkedin_import
Full Stack Developer,82,linkedin_import
Software Developer,79,linkedin_import
Business Analyst,76,manual_entry
HR Manager,73,crm_sync
Analista de Datos,71,manual_entry
Senior Dev,68,crm_sync
Front End Developer,65,linkedin_import
Backend Developer,62,linkedin_import
Representante de Ventas,59,manual_entry
Scrum Master,56,linkedin_import
Data Scientist,54,linkedin_import
QA Engineer,52,linkedin_import
Diseñador UX,50,manual_entry
Financial Analyst,48,crm_sync
Cloud Architect,46,linkedin_import
Technical Lead,44,linkedin_import
Jefe de Marketing,42,manual_entry
Chief Technology Officer,40,linkedin_import
Solutions Architect,38,crm_sync
Ingeniero DevOps,36,manual_entry
Product Owner,34,linkedin_import
Gerente de RRHH,33,manual_entry
CTO,31,crm_sync
Fullstack Dev,30,crm_sync
Sr Software Engineer,29,linkedin_import
Développeur Senior,28,manual_entry
FrontEnd Dev,27,crm_sync
VP of Sales,26,linkedin_import
Analista Financiero,25,manual_entry
Database Administrator,24,linkedin_import
Ingénieur Logiciel,23,manual_entry
Machine Learning Engineer,22,linkedin_import
Gerente de Cuentas,21,manual_entry
Senior QA,20,crm_sync
UI/UX Designer,19,linkedin_import
Tech Lead,18,crm_sync
Infrastructure Engineer,17,linkedin_import
Content Marketing Manager,16,manual_entry
Directeur Marketing,15,manual_entry
Analista de Negocio,14,manual_entry
Software Eng.,13,crm_sync
Site Reliability Engineer,12,linkedin_import
Release Manager,11,crm_sync
Wissenschaftlicher Mitarbeiter,10,manual_entry
Produktmanager,9,manual_entry
Head of Engineering,8,linkedin_import
Responsable RH,7,manual_entry
DBA,6,crm_sync
VP Sales,5,crm_sync
front-end developer,4,crm_sync
SENIOR SOFTWARE ENGINEER,3,crm_sync
back end developer,2,crm_sync
sr. soft. eng.,1,crm_sync
Architecte Cloud,1,manual_entry
Datenwissenschaftler,1,manual_entry
Responsable de Produit,1,manual_entry
Projektleiter,1,manual_entry
SE,1,crm_sync
PM,1,crm_sync
sviluppatore senior,1,manual_entry
analista dati,1,manual_entry
chef de projet,1,manual_entry
Quality Assurance Engineer,1,linkedin_import
MLOps Engineer,1,linkedin_import
Platform Engineer,1,linkedin_import
swe,1,crm_sync
software engineering,1,crm_sync
dev,1,crm_sync
SRE,1,crm_sync
Marketing Mgr,1,crm_sync
Sales Rep,1,crm_sync
