brand,region,q1_share_pct,q1_revenue_usd,yoy_change_pct
Nike,North America,27.3,4850000000,1.2
Orbit Sports,North America,14.1,2510000000,6.8
Velocity Gear,North America,11.8,2100000000,3.4
Apex Athletics,North America,9.2,1640000000,8.1
Summit Run,North America,4.6,820000000,2.3
Nike,Europe,24.7,3290000000,0.8
Orbit Sports,Europe,12.3,1640000000,9.2
Velocity Gear,Europe,10.5,1400000000,4.1
Apex Athletics,Europe,8.9,1190000000,7.5
Summit Run,Europe,5.1,680000000,3.7
Nike,Asia Pacific,19.8,2140000000,-0.5
Orbit Sports,Asia Pacific,16.4,1770000000,11.3
Velocity Gear,Asia Pacific,8.2,890000000,5.6
Apex Athletics,Asia Pacific,11.7,1260000000,9.8
Summit Run,Asia Pacific,3.1,340000000,1.9
