feedback_id,feedback_text,source,date_submitted
FB-001,"App crashes when I try to export my weekly report to PDF",app_store_review,2025-11-02
FB-002,"Would love a dark mode option",in_app_survey,2025-11-03
FB-003,"The Gantt chart view is amazing! Best feature ever",app_store_review,2025-11-03
FB-004,"cant find where to add team members super confusing",support_ticket,2025-11-04
FB-005,"Integration with Google Calendar would be a game changer",feature_request_form,2025-11-04
FB-006,"Too slow loading projects with 50+ tasks",support_ticket,2025-11-05
FB-007,"I love the drag and drop for prioritizing tasks",in_app_survey,2025-11-05
FB-008,"Notifications are way too aggressive. I get pinged for everything",in_app_survey,2025-11-06
FB-009,"Would be great to have recurring tasks",feature_request_form,2025-11-06
FB-010,"The mobile app is basically unusable on Android",app_store_review,2025-11-07
FB-011,"Export to CSV doesn't include subtasks — that's a dealbreaker for my reports",support_ticket,2025-11-07
FB-012,"LOVE the new board view update!!!",app_store_review,2025-11-08
FB-013,"Why can't I assign a task to multiple people?",support_ticket,2025-11-08
FB-014,"Please add Slack integration",feature_request_form,2025-11-09
FB-015,"The onboarding tutorial was super helpful, got set up in 5 min",in_app_survey,2025-11-09
FB-016,"keeps logging me out every hour very annoying",support_ticket,2025-11-10
FB-017,"Need better reporting — can't see team workload at a glance",feature_request_form,2025-11-10
FB-018,"The search function is terrible. Can never find old tasks",support_ticket,2025-11-11
FB-019,"Honestly the best project management tool I've used",app_store_review,2025-11-11
FB-020,"Please let me customize the dashboard widgets",feature_request_form,2025-11-12
FB-021,"Crashed 3 times today when switching between projects",support_ticket,2025-11-12
FB-022,"Calendar sync doesn't work with Outlook",support_ticket,2025-11-13
FB-023,"The pricing is fair for what you get. Love the free tier",app_store_review,2025-11-13
FB-024,"Need API access for our internal tools",feature_request_form,2025-11-14
FB-025,"Can you add time tracking built in? Using a separate app is painful",feature_request_form,2025-11-14
FB-026,"I accidentally deleted a project and there's no undo or trash. Lost 3 weeks of work",support_ticket,2025-11-15
FB-027,"Dark mode dark mode dark mode PLEASE",in_app_survey,2025-11-15
FB-028,"The templates for sprint planning are chef's kiss",in_app_survey,2025-11-16
FB-029,"attachment uploads fail if file is over 10MB — need higher limit",support_ticket,2025-11-16
FB-030,"Would pay more for a portfolio view across all projects",feature_request_form,2025-11-17
FB-031,"App is great but the Android widget is broken",app_store_review,2025-11-17
FB-032,"My team loves the comments feature on tasks",in_app_survey,2025-11-18
FB-033,"SSO login doesn't work with our Okta setup",support_ticket,2025-11-18
FB-034,"Wish I could set dependencies between tasks visually",feature_request_form,2025-11-19
FB-035,"The color coding for priority levels is really intuitive",in_app_survey,2025-11-19
FB-036,"Loading spinner just sits there forever on the reports page",support_ticket,2025-11-20
FB-037,"Please add a way to duplicate projects as templates",feature_request_form,2025-11-20
FB-038,"Just switched from Competitor X and Orbit is so much cleaner",app_store_review,2025-11-21
FB-039,"The email digest is useless — too much info, not actionable",in_app_survey,2025-11-21
FB-040,"Need custom fields on tasks for our workflow",feature_request_form,2025-11-22
FB-041,"Two-factor authentication should be mandatory option for enterprise",feature_request_form,2025-11-22
FB-042,"I can't figure out how to archive completed projects",support_ticket,2025-11-23
FB-043,"Board view needs swimlanes badly",feature_request_form,2025-11-23
FB-044,"Great tool but the learning curve is steep for new users",app_store_review,2025-11-24
FB-045,"Text formatting in task descriptions is buggy — bold doesn't always render",support_ticket,2025-11-24
FB-046,"Love that I can mention teammates in comments with @",in_app_survey,2025-11-25
FB-047,"The free plan is too limited — only 5 projects feels stingy",app_store_review,2025-11-25
FB-048,"Need a way to track billable hours per client project",feature_request_form,2025-11-26
FB-049,"Everything about notifications needs to be rethought",in_app_survey,2025-11-26
FB-050,"The iOS app is smooth. Android feels like an afterthought though",app_store_review,2025-11-27
FB-051,"When I copy a task link, it should include the task title not just a URL",feature_request_form,2025-11-27
FB-052,"Your customer support team is fantastic — got help in under 10 minutes",in_app_survey,2025-11-28
FB-053,"The subtask feature needs nesting — I need sub-subtasks",feature_request_form,2025-11-28
FB-054,"PDF export looks terrible — formatting is all messed up",support_ticket,2025-11-29
FB-055,"Can you add a Pomodoro timer feature? Would be perfect for focus mode",feature_request_form,2025-11-29
FB-056,"Accidentally shared a private project externally — permissions are confusing",support_ticket,2025-11-30
FB-057,"Orbit is the first tool my whole team actually uses consistently",app_store_review,2025-11-30
FB-058,"File attachments disappear after a few weeks — is there a storage limit?",support_ticket,2025-12-01
FB-059,"Need better mobile notifications — I miss deadlines because push doesn't work",support_ticket,2025-12-01
FB-060,"Would love AI-powered task suggestions based on project patterns",feature_request_form,2025-12-02
FB-061,"The quick-add shortcut (Cmd+K) is brilliant",in_app_survey,2025-12-02
FB-062,"Bulk editing tasks is impossible — I have to update them one by one",support_ticket,2025-12-03
FB-063,"Please add a table/spreadsheet view for tasks",feature_request_form,2025-12-03
FB-064,"My manager loves the progress dashboard — makes standups faster",in_app_survey,2025-12-04
FB-065,"Crashes on iPad when rotating from portrait to landscape",support_ticket,2025-12-04
FB-066,"Integration with Figma would be incredible for our design team",feature_request_form,2025-12-05
FB-067,"The weekly email summary is actually useful — rare for a SaaS tool",in_app_survey,2025-12-05
FB-068,"Why is there no way to set task templates? I create the same tasks every sprint",feature_request_form,2025-12-06
FB-069,"Tried to import from Trello and half my cards got corrupted",support_ticket,2025-12-06
FB-070,"Your pricing page is confusing — unclear what's in each tier",app_store_review,2025-12-07
FB-071,"The real-time collaboration is smooth — we edit tasks simultaneously",in_app_survey,2025-12-07
FB-072,"Need guest access for clients who don't need full accounts",feature_request_form,2025-12-08
FB-073,"Search should support filters like 'assigned to me' or 'due this week'",feature_request_form,2025-12-08
FB-074,"The app randomly logs me out on Safari",support_ticket,2025-12-09
FB-075,"Best $12/month I spend on tools. Seriously",app_store_review,2025-12-09
FB-076,"Our team of 50 finds the admin panel really lacking",support_ticket,2025-12-10
FB-077,"Would love to see burndown charts for sprints",feature_request_form,2025-12-10
FB-078,"The drag-and-drop is glitchy on Firefox — tasks jump around",support_ticket,2025-12-11
FB-079,"Please add a 'my day' view like some competitors have",feature_request_form,2025-12-11
FB-080,"Set up our whole product launch in Orbit — the timeline view is perfect",in_app_survey,2025-12-12
FB-081,"NO DARK MODE IN 2025?? Come on",app_store_review,2025-12-12
FB-082,"The help docs are outdated — screenshots don't match the current UI",support_ticket,2025-12-13
FB-083,"Can't sort tasks by custom fields — only by date and priority",support_ticket,2025-12-13
FB-084,"Please add a way to track OKRs alongside tasks",feature_request_form,2025-12-14
FB-085,"Onboarding was confusing for my non-tech teammates",in_app_survey,2025-12-14
FB-086,"Email notifications come 30 mins late sometimes",support_ticket,2025-12-15
FB-087,"I want to be able to print a task list for offline standups",feature_request_form,2025-12-15
FB-088,"This replaced 3 tools for us — project management, docs, and task tracking",app_store_review,2025-12-16
FB-089,"The keyboard shortcuts are great but there's no cheat sheet in the app",in_app_survey,2025-12-16
FB-090,"File preview for PDFs doesn't work — just shows a blank page",support_ticket,2025-12-17
FB-091,"Need audit logs to see who changed what on a task",feature_request_form,2025-12-17
FB-092,"Can I get a discount for nonprofits? We're a small charity",app_store_review,2025-12-18
FB-093,"The quick filters on the sidebar save me so much time",in_app_survey,2025-12-18
FB-094,"When I complete a task, it should auto-archive after 30 days not clutter my board",feature_request_form,2025-12-19
FB-095,"We hit the project limit on the team plan — need unlimited",support_ticket,2025-12-19
FB-096,"Your onboarding webinar was super helpful. More of these please",in_app_survey,2025-12-20
FB-097,"The API documentation is sparse — need more examples",feature_request_form,2025-12-20
FB-098,"The app takes 8 seconds to load on my phone. Way too slow",support_ticket,2025-12-21
FB-099,"Added all my personal tasks here too — it's that good",app_store_review,2025-12-21
FB-100,"Please add workload balancing — I can't see who's overloaded",feature_request_form,2025-12-22
FB-101,"Our exec team wants a high-level portfolio dashboard",feature_request_form,2025-12-22
FB-102,"Undo button for bulk actions would prevent disasters",feature_request_form,2025-12-23
FB-103,"Can't change the start day of the week to Monday in settings",support_ticket,2025-12-23
